Qu'est-ce qu'une Grandeur d'état ?;Variable macroscopique ou fonction permettant de décrire un état d'équilibre.;Une grandeur proportionnelle à la quantité de matière.;Une grandeur qui a la même valeur en tout point de l'espace.;Une relation entre les grandeurs d'états à l'équilibre.
Qu'est-ce qu'un système fermé ?;Le système n'échange pas de matière avec l'extérieur.;Le système peut échanger de la matière avec l'extérieur.;Un système à pression constante.;Un système sans transfert thermique avec l'extérieur.
Définition d'une transformation isochore.;Transformation à volume constant (V=cte).;Transformation à pression constante (p=cte).;Transformation à température constante (T=cte).;Transformation sans transfert thermique (Q=0).
Qu'est-ce qu'une transformation adiabatique ?;Transformation sans transfert thermique avec l'extérieur (Q=0).;Transformation à température constante (T=cte).;Transformation à pression constante (p=cte).;Transformation qui passe par une infinité d'états d'équilibre.
Qu'est-ce qu'une grandeur extensive ?;Proportionnelle à la quantité de matière.;Indépendante de la quantité de matière.;Une grandeur qui a la même valeur en tout point de l'espace.;Une variable décrivant un état d'équilibre.
Quelle est l'expression de l'Enthalpie H ?;H = U + pV.;U = H - pV.;H = Q + W.;H = mC(delta)T.
Comment se définissent les Capacités thermiques à volume et pression constants (Cv et Cp) ?;Cv = (delta)U / (delta)T et Cp = (delta)H / (delta)T.;Cv = (delta)H / (delta)T et Cp = (delta)U / (delta)T.;Cv = (delta)H / (delta)p et Cp = (delta)U / (delta)V.;Cv = (delta)Q / (delta)T et Cp = (delta)W / (delta)T.
Quelle est l'équation d'état du gaz parfait ?;pV = nRT.;p / T = Cte.;p = rho * g * h.;U = H - pV.
Quelle est la Première loi de Joule pour un gaz parfait ?;L'énergie interne ne dépend que de la température.;L'enthalpie ne dépend que de la température.;La pression ne dépend que de la température.;Le volume ne dépend que de la température.
Qu'est-ce que le Principe Zéro de la Thermodynamique ?;Si deux systèmes sont en équilibre thermique avec un même troisième alors ils sont en équilibre thermique entre eux.;Tout système fermé possède une énergie interne U.;Pour tout système fermé il existe la fonction d'état entropie S.;Pour une machine thermique la somme des Qi / Ti est inférieure ou égale à zéro.
Énoncé du Second Principe pour l'entropie S d'un système fermé.;(delta)S = S échange + S créé avec S créé >= 0.;(delta)(U+Em) = W + Q.;(delta)(H+Em) = Q.;H = U + pV.
Que représente l'aire d'un cycle dans le diagramme de Clapeyron (p,V) ?;La valeur absolue du travail sur un cycle.;La chaleur échangée sur un cycle.;La variation d'énergie interne.;La variation d'enthalpie.
Selon le théorème dans quel sens un cycle est-il moteur dans le diagramme de Clapeyron (p,V) ?;Sens horaire (Wcycle < 0).;Sens anti-horaire (Wcycle < 0).;Sens horaire (Wcycle > 0).;Sens anti-horaire (Wcycle > 0).
Laquelle des affirmations suivantes est un théorème connu ?;Une transformation adiabatique réversible est isentropique.;Une transformation isentropique est toujours adiabatique réversible.;Une transformation isochore est isobare.;Une transformation monobare est isotherme.
Qu'est-ce que l'enthalpie massique de fusion (ou chaleur latente de fusion)?;(delta)h fusion est donnée par (delta)H / m fondue.;(delta)h fusion est égale à (delta)U / m fondue.;(delta)h fusion est égale à la température de fusion.;(delta)h fusion est toujours nulle.
Définition d'un Thermostat (ou source).;Système de température constante n'ayant avec l'extérieur que des transferts thermiques.;Système fermé qui ne peut échanger de matière.;Système avec des parois qui ralentissent les transferts thermiques.;Système en équilibre thermique parfait.
Qu'est-ce qu'un état d'un système ?;Équilibre atteint lorsque les grandeurs macroscopiques du système n'évoluent plus.;L'ensemble des grandeurs intensives uniformes.;La valeur de l'énergie interne U.;L'état du système à température constante.
Dans une transformation monobare quelle pression est constante ?;La pression extérieure (p_ext = cte).;La pression du système (p = cte).;La pression interne du gaz.;La pression critique.
Dans une transformation quasi-statique quelle approximation est vraie ?;p est approximativement égal à p_ext.;Q est approximativement égal à W.;U est constante.;H est constante.
De quoi dépendent l'énergie interne U et l'enthalpie H d'un gaz parfait (lois de Joule) ?;Uniquement de la température.;Uniquement du volume.;Uniquement de la pression.;De la pression et du volume.
Quelle relation lie Cp et Cv pour le gaz parfait selon les formules données ?;Cp / Cv = gamma (>1).;Cp - Cv = R.;Cp = Cv + nR.;Cp * Cv = nR.
Quelle est la relation reliant Température et Volume dans les lois de Laplace (adiabatique quasi-statique d'un GP) ?;T * V^(gamma-1) = constante.;p * V^gamma = constante.;T^gamma * p^(1-gamma) = constante.;p * T^(gamma) = constante.
Comment le Premier Principe des systèmes fermés s'énonce-t-il (sans Em) ?;(delta)U = W + Q.;(delta)H = Q.;(delta)S = S échange + S créé.;(delta)U = Q.
Quelle est l'expression du travail des forces de pression pour une transformation quelconque (non quasi-statique) ?;W_AB = Intégrale de -p_ext(V)dV.;W_AB = Intégrale de -p(V)dV.;W_AB = p * (V_B - V_A).;W_AB = 0.
Selon la formule quelle est l'expression de S échange dans le Second Principe ?;Intégrale de (delta)Q / T_source.;Intégrale de (delta)Q / T système.;(delta)S - S créé.;Intégrale de (delta)W / T.
Quel est l'énoncé de Clausius du Second Principe pour une machine thermique à n sources ?;La somme des Qi / Ti est inférieure ou égale à zéro.;Le rendement est toujours inférieur à 1.;Le travail total est toujours nul.;L'entropie créée est nulle.
Pour un Moteur ditherme quels sont les signes des grandeurs selon le formalisme ?;W_total < 0 et Q_c > 0 et Q_f < 0.;W_total > 0 et Q_c > 0 et Q_f < 0.;W_total < 0 et Q_c < 0 et Q_f > 0.;W_total > 0 et Q_c < 0 et Q_f > 0.
Quelle est l'efficacité maximale (idéale) pour un Moteur ditherme réversible (Théorème de Carnot) ?;eta <= 1 - T_F / T_c.;eta <= T_c / (T_c - T_F).;COP <= T_F / (T_c - T_F).;COP <= 1.
Quelle est l'expression du COP pour une Pompe À Chaleur (PAC) ?;COP = -Q_C / W_total.;COP = Q_F / W_total.;COP = -W_total / Q_C.;COP = Q_C / Q_F.
Quelle est l'efficacité maximale (idéale) pour une Pompe À Chaleur (PAC) réversible (Théorème de Carnot) ?;COP <= T_c / (T_c - T_F).;COP <= T_F / (T_c - T_F).;eta <= 1 - T_F / T_c.;COP <= 1.
Comment se nomme un cycle de 4 transformations réversibles : 2 adiabatiques et 2 isothermes ?;Cycle de Carnot.;Cycle monobare.;Cycle isochore.;Cycle quasi-statique.
Pour un système liquide ou solide (incompressible) quelle est la relation entre delta U et delta H ?;(delta)U = (delta)H = C * (delta)T.;(delta)U = (delta)H = 0.;(delta)U = (delta)H + p * (delta)V.;(delta)U = C_v * (delta)T.
À quoi correspond le point 'C' (Critique) sur les diagrammes P-V et P-T ?;Le point où les phases liquide et gaz deviennent indiscernables (fluide supercritique).;Le point où les trois phases coexistent.;La température de fusion.;La température d'ébullition.
Dans les relations du Théorème des moments que représente x_vap ?;Le titre en vapeur (fraction massique de vapeur).;Le titre en liquide.;Le volume massique.;La masse totale.
Comment est qualifiée une transformation adiabatique réversible ?;Isentropique.;Isotherme.;Isochore.;Monobare.
Qu'est-ce qu'une grandeur intensive ?;Indépendante de la quantité de matière.;Proportionnelle à la quantité de matière.;Une grandeur qui a la même valeur en tout point de l'espace.;Une variable décrivant un état d'équilibre.
Définition d'un système homogène.;Les grandeurs intensives sont uniformes dans le système.;Le système est composé d'une seule phase.;Le système n'échange pas de matière.;Le système est à l'équilibre thermique.
Quel est le type de transfert d'énergie associé à la Physique et non à la Mécanique ?;Transfert thermique Q.;Travail W.;Puissance mécanique Pmic.;Puissance Pth.
Quel est le rendement maximal (idéal) pour un Réfrigérateur ou Climatiseur réversible (Théorème de Carnot) ?;COP <= T_F / (T_c - T_F).;COP <= T_c / (T_c - T_F).;eta <= 1 - T_F / T_c.;COP <= 1.
Dans le Théorème des moments quelle formule permet de trouver x_vap avec les enthalpies ?;x_vap = (h - h_liq) / (h_vap - h_liq).;x_vap = (s - s_liq) / (s_vap - s_liq).;x_vap = h_vap / h_liq.;x_vap = h_liq - h_vap.
Quel est l'objectif du Premier Principe industriel appliqué à un système ouvert en régime stationnaire ?;D'exprimer la conservation de l'énergie pour les systèmes ouverts.;De calculer l'entropie créée par le système.;De déterminer la température du thermostat.;De définir le travail des forces de pression.
Quelle est l'efficacité (rendement) d'un Moteur ditherme ?;eta = -W_total / Q_c.;eta = Q_c / W_total.;eta = Q_F / W_total.;eta = 1 + Q_F / Q_c.
Quel est le COP d'un Réfrigérateur ou d'un Climatiseur ?;COP = Q_F / W_total.;COP = -Q_C / W_total.;COP = Q_C / W_total.;COP = 1 + Q_F / Q_c.
Quel est le travail indiqué (wi) mentionné dans la formule du Premier Principe industriel ?;Le travail indiqué sur les parties mobiles.;Le travail des forces de pression.;Le transfert thermique.;L'énergie interne massique.
