This morning I met John.... the bus-stop.;at;in;before;to
... guests who arrived yesterday came by plane.;Most of the;Most of;The most of;The most of the
My bank account has been ... the red for a while.;in;on;to;at
Ms Sailor, our Japanese distributor, suggested Tom... her in a few weeks.;call;to call;calling;called
My boss would like ... more with Asian customers.;to work;for work;working;worked
The wall of the store ... was not badly damaged, but to be on the safe side, we decided to strengthen ...;itself/ it;oneself/it;oneself/its;itself/ its
Jim... his office. It looks lovely now.;got a worker repaint;had a worker repainted;had a worker to repaint;got a worker to repaint
When I ... 20, I want to tour the world with my friends.;am;be;will be;am being
"Where can they leave your key?". "They can ... it back in my mail box".;drop;pose;live;let
Mr Tatler's office is... the second floor.;on;in;into;at
Despite the legal difficulties, we decided to go... with the merger.;ahead;up;onto;off
He enjoys traveling... his boss prefers staying at the office.;whereas;in spite of;unlike;because of
Look, Lena's phone is on the coffee table. She ... have left it there last night.;must;should;would;could
You ... pay now, just give a deposit.;needn't;shan't;wouldn't;ought
I will ask Mr McManus for... because I'd like to get a loan.;an appointment;a rendez-vous;a date;a consultation
Which actor does he ... most?;admire;admires;admired;admiring
There was a new play last night and the audience ... for five minutes. I guess people loved the play.;applauded;applaude;have applauded;have been applauding
She was advised to arrive... the airport very early.;at;in;into;on
I don't like my job very much ... the salary is good.;but;as a result;despite;consequently
"How do you get... with your new colleagues?" "Very well, thanks.";along;up;forward;down
If I ... more money, I... more income tax.;had earned / would have paid;had earned / will pay;earned / would have paid;earned / will pay
